,L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
12400_42000,2.38E-02,1.88E-02,1.54E-01,3.47E-02,2.89E-02,7.15E-02,4.43E-01,1.65E-02,6.54E-02,1.07E-01,3.65E-02
12400_42800,1.24E-01,9.04E-02,9.32E-02,9.56E-02,3.95E-02,4.82E-02,4.29E-02,9.22E-03,2.29E-01,9.12E-02,1.36E-01
12400_43600,1.26E-01,8.32E-02,1.69E-01,2.50E-02,4.38E-02,2.80E-02,1.74E-02,2.37E-03,1.82E-01,7.55E-02,2.47E-01
13200_20400,1.86E-01,3.17E-02,1.30E-01,8.05E-02,2.67E-02,1.85E-01,7.58E-02,1.14E-02,1.12E-01,7.88E-02,8.24E-02
13200_21200,9.62E-02,6.85E-02,9.36E-02,6.70E-02,2.72E-02,6.11E-02,1.78E-01,4.51E-03,5.68E-02,1.29E-01,2.18E-01
13200_22000,7.52E-02,1.02E-01,1.17E-01,6.25E-02,4.62E-02,2.77E-02,9.57E-02,4.33E-03,7.10E-02,7.09E-02,3.27E-01
13200_22800,9.88E-02,7.87E-02,1.49E-01,6.27E-02,4.69E-02,3.18E-02,1.18E-01,5.01E-03,1.38E-01,6.75E-02,2.04E-01
13200_23600,4.41E-02,6.59E-02,2.07E-01,4.59E-02,7.10E-02,3.58E-02,1.84E-01,1.13E-02,6.52E-02,7.25E-02,1.97E-01
13200_24400,9.84E-02,7.04E-02,1.59E-01,6.19E-02,4.82E-02,2.23E-02,1.23E-01,4.99E-03,1.78E-01,6.39E-02,1.70E-01
13200_25200,7.05E-02,3.86E-02,1.24E-01,7.82E-02,2.94E-02,1.07E-01,1.65E-01,1.45E-02,1.92E-01,1.12E-01,6.87E-02
13200_26000,3.47E-02,3.88E-02,6.90E-02,5.67E-02,1.92E-02,8.57E-02,7.60E-02,6.61E-03,4.12E-01,1.22E-01,7.86E-02
13200_26800,2.42E-02,5.40E-02,5.89E-02,3.31E-02,2.29E-02,1.59E-02,3.94E-02,3.54E-03,5.80E-01,9.18E-02,7.63E-02
13200_27600,1.84E-02,8.66E-02,3.84E-02,3.98E-02,1.96E-02,7.09E-03,2.58E-02,2.19E-03,5.42E-01,1.15E-01,1.05E-01
13200_28400,2.33E-02,6.17E-02,1.54E-01,6.74E-02,4.38E-02,6.40E-02,1.34E-01,1.74E-02,2.14E-01,1.29E-01,9.17E-02
13200_29200,3.19E-02,6.00E-02,1.41E-01,8.09E-02,3.21E-02,7.87E-02,7.47E-02,7.54E-03,1.36E-01,2.47E-01,1.09E-01
13200_30000,8.64E-02,6.35E-02,1.65E-01,7.04E-02,4.77E-02,4.69E-02,1.67E-01,1.00E-02,1.21E-01,8.18E-02,1.40E-01
13200_30800,2.64E-02,9.11E-02,2.10E-01,6.36E-02,6.93E-02,3.60E-02,1.32E-01,1.20E-02,6.27E-02,1.22E-01,1.75E-01
13200_31600,8.84E-02,5.04E-02,1.44E-01,9.89E-02,4.52E-02,1.46E-01,1.14E-01,2.44E-02,5.60E-02,1.41E-01,9.19E-02
13200_32400,5.90E-02,4.01E-02,2.42E-01,4.34E-02,6.35E-02,5.61E-02,2.42E-01,1.66E-02,4.69E-02,8.44E-02,1.06E-01
13200_33200,8.35E-02,1.42E-02,2.54E-01,4.54E-02,2.58E-02,2.31E-01,1.49E-01,1.26E-02,5.19E-02,8.69E-02,4.50E-02
13200_34000,1.55E-02,2.81E-02,4.88E-01,1.65E-02,5.51E-02,1.67E-02,1.51E-01,5.58E-03,3.39E-02,1.20E-01,6.95E-02
13200_34800,3.22E-02,2.50E-02,4.65E-01,1.95E-02,5.70E-02,2.77E-02,1.67E-01,8.04E-03,3.45E-02,1.02E-01,6.20E-02
13200_35600,8.68E-03,4.34E-02,3.46E-01,2.36E-02,5.94E-02,1.47E-02,1.69E-01,7.24E-03,8.19E-02,1.61E-01,8.48E-02
13200_36400,6.55E-03,3.13E-02,3.23E-01,1.98E-02,4.76E-02,1.44E-02,3.05E-01,7.17E-03,5.67E-02,1.25E-01,6.35E-02
13200_37200,2.06E-02,4.37E-02,2.60E-01,4.71E-02,5.67E-02,5.11E-02,2.23E-01,1.72E-02,5.30E-02,1.43E-01,8.51E-02
13200_38000,5.91E-03,1.79E-02,1.67E-01,2.15E-02,2.68E-02,2.81E-02,5.38E-01,9.02E-03,3.45E-02,1.04E-01,4.76E-02
13200_38800,3.73E-02,3.04E-02,1.68E-01,6.02E-02,3.67E-02,1.12E-01,2.97E-01,2.47E-02,6.19E-02,1.21E-01,5.11E-02
13200_39600,1.62E-02,1.75E-02,1.33E-01,2.38E-02,2.79E-02,4.95E-02,4.93E-01,1.24E-02,5.25E-02,1.36E-01,3.90E-02
13200_40400,1.50E-02,1.90E-02,1.43E-01,2.49E-02,2.95E-02,4.99E-02,4.63E-01,1.23E-02,5.44E-02,1.43E-01,4.57E-02
13200_41200,5.51E-03,2.11E-02,1.28E-01,1.87E-02,3.07E-02,2.21E-02,5.24E-01,9.43E-03,3.84E-02,1.50E-01,5.27E-02
13200_42000,1.19E-02,1.97E-02,1.36E-01,1.98E-02,3.25E-02,2.70E-02,5.51E-01,1.27E-02,4.03E-02,1.11E-01,3.80E-02
13200_42800,2.11E-01,3.24E-02,1.93E-01,5.83E-02,3.16E-02,6.54E-02,1.17E-01,6.92E-03,1.38E-01,6.81E-02,7.87E-02
