,L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
20400_39600,9.15E-02,1.07E-01,9.77E-02,2.37E-02,3.36E-02,1.95E-02,2.31E-02,1.94E-03,1.47E-01,1.25E-01,3.30E-01
21200_31600,2.57E-02,3.72E-02,4.25E-01,2.39E-02,6.46E-02,2.49E-02,1.50E-01,1.00E-02,7.21E-02,1.01E-01,6.56E-02
21200_32400,1.88E-02,2.46E-02,3.46E-01,2.31E-02,5.72E-02,2.92E-02,3.03E-01,1.09E-02,4.14E-02,8.47E-02,6.07E-02
21200_33200,1.35E-02,4.52E-02,3.11E-01,3.01E-02,6.57E-02,2.49E-02,2.44E-01,1.45E-02,8.58E-02,8.76E-02,7.82E-02
21200_34000,2.58E-02,2.99E-02,2.43E-01,3.64E-02,5.13E-02,5.65E-02,3.32E-01,1.83E-02,3.77E-02,8.32E-02,8.68E-02
21200_34800,3.54E-02,6.25E-02,1.98E-01,1.36E-01,5.67E-02,9.70E-02,1.40E-01,3.54E-02,3.01E-02,1.30E-01,7.91E-02
21200_35600,3.37E-02,2.30E-02,2.28E-01,3.31E-02,4.32E-02,6.04E-02,3.77E-01,1.87E-02,6.09E-02,7.46E-02,4.78E-02
21200_36400,4.14E-02,2.92E-02,2.09E-01,3.39E-02,4.71E-02,5.08E-02,3.62E-01,1.43E-02,5.75E-02,8.82E-02,6.66E-02
21200_37200,6.85E-02,3.89E-02,1.34E-01,5.11E-02,3.20E-02,5.70E-02,2.37E-01,8.39E-03,1.69E-01,1.15E-01,8.85E-02
21200_38000,1.53E-01,1.43E-02,4.79E-02,3.04E-02,1.00E-02,3.33E-01,2.84E-02,1.97E-03,6.73E-02,1.58E-01,1.56E-01
21200_38800,7.03E-02,9.74E-02,1.14E-01,7.48E-03,3.26E-02,4.37E-03,1.05E-02,4.83E-04,9.88E-02,8.60E-02,4.78E-01
22000_31600,3.18E-02,5.20E-02,1.96E-01,9.88E-02,3.92E-02,1.25E-01,1.35E-01,1.92E-02,7.09E-02,1.32E-01,9.98E-02
22000_32400,2.92E-02,4.32E-02,3.10E-01,4.24E-02,7.35E-02,4.43E-02,2.14E-01,2.01E-02,5.39E-02,9.24E-02,7.73E-02
22000_33200,3.78E-02,2.16E-02,3.32E-01,2.60E-02,4.95E-02,5.10E-02,2.97E-01,1.34E-02,4.42E-02,7.32E-02,5.37E-02
22000_34000,9.31E-03,2.67E-02,1.97E-01,2.35E-02,4.39E-02,2.51E-02,4.53E-01,1.29E-02,4.71E-02,1.03E-01,5.85E-02
22000_34800,1.10E-02,2.38E-02,1.64E-01,2.77E-02,3.54E-02,3.34E-02,4.97E-01,1.49E-02,5.45E-02,9.36E-02,4.56E-02
22000_35600,6.43E-02,4.58E-02,1.01E-01,6.41E-02,2.65E-02,1.80E-01,8.66E-02,7.21E-03,9.08E-02,1.40E-01,1.94E-01
22000_38000,2.19E-01,3.79E-02,1.07E-01,7.77E-02,2.29E-02,5.37E-02,4.92E-02,5.74E-03,3.02E-01,5.43E-02,7.07E-02
22000_39600,9.75E-02,4.19E-02,1.18E-01,8.23E-02,2.74E-02,9.02E-02,1.73E-01,1.30E-02,1.94E-01,9.77E-02,6.52E-02
22800_31600,3.12E-03,8.42E-02,4.15E-01,1.28E-02,7.62E-02,2.70E-03,5.16E-02,3.52E-03,8.10E-02,1.32E-01,1.38E-01
22800_33200,6.19E-03,4.38E-02,2.57E-01,2.40E-02,6.34E-02,1.48E-02,2.94E-01,1.05E-02,5.00E-02,1.36E-01,9.95E-02
22800_34000,2.69E-02,2.75E-02,2.64E-01,3.77E-02,5.28E-02,5.95E-02,3.12E-01,1.83E-02,3.14E-02,9.36E-02,7.61E-02
22800_34800,9.82E-02,4.63E-02,1.24E-01,3.25E-02,4.78E-02,6.94E-02,1.13E-01,7.45E-03,5.17E-02,2.06E-01,2.04E-01
22800_35600,9.60E-02,5.41E-02,1.36E-01,6.71E-02,4.17E-02,7.82E-02,1.66E-01,1.53E-02,1.49E-01,9.01E-02,1.07E-01
22800_37200,8.96E-02,7.64E-02,8.48E-02,7.81E-03,2.68E-02,9.69E-03,7.25E-03,4.76E-04,7.89E-02,1.32E-01,4.86E-01
23600_37200,2.05E-01,4.41E-02,1.89E-01,2.49E-02,2.61E-02,4.57E-02,6.30E-02,2.48E-03,9.65E-02,1.38E-01,1.64E-01
