B cells,Dendritic cells,Endothelial cells,Epithelial cells,Fibroblasts,Monocytes and Macrophages,NK cells,PCs,PVL,T cells CD4,T cells CD8
0.0006287634,0.028354002,0.029519992,0.069204874,0.059536036,0.0019845797,0.22822583,0.36238623,0.06305355,0.13308142,0.024024738
0.00020369008,0.012728396,0.0050337566,0.5404572,0.00015631274,4.5985213e-05,0.00076588243,9.789871e-06,0.3015316,0.0012881028,0.13777928
0.0034333996,0.030359328,0.17523254,0.011060448,0.14206134,0.0030754993,0.12107911,0.35033873,0.15537204,0.00261088,0.0053767003
0.14095396,0.032895733,0.022447806,0.08406866,0.15306972,0.10060402,0.3202992,0.003612148,0.14118904,0.00015323242,0.0007064652
0.001753412,0.028276827,0.009228717,0.11280473,0.26827037,0.0023518302,0.13659678,0.11123068,0.17730585,0.06893549,0.08324524
0.0044550304,0.031229315,0.2520773,1.1335335e-07,0.12049393,0.47064704,0.003134294,0.00040194858,0.09708278,0.020108849,0.000369342
0.00096043886,0.057369545,0.016273383,0.13652727,0.30731362,0.012512311,0.26634133,0.15744592,0.039800942,0.00023314448,0.0052220803
0.01956555,0.17722973,0.018829798,0.1903477,0.05975356,0.098087914,0.12743193,0.12855019,0.16654482,0.009502512,0.0041563003
0.020636901,0.26263678,0.0070363795,0.0003414999,0.10550231,0.12616426,0.044330932,0.39239407,0.039604075,0.00041775388,0.0009350617
0.11768456,0.02273899,0.015080507,0.20319898,0.19924568,0.004102226,0.19888633,0.053003136,0.09263739,0.06602322,0.027398976
0.0026609963,0.0026594722,0.03754417,0.5481989,0.0010969918,0.0015171848,0.25542745,0.003060454,0.13869244,0.0016636872,0.0074782767
0.022402909,0.16371222,0.13898034,0.15734564,0.14231732,0.01894882,0.028928857,0.20510548,0.113093585,0.00088929787,0.008275547
0.18170732,0.039336506,0.34280032,0.1566179,0.0051500225,0.00073262805,0.033789165,0.019778065,0.02601085,0.115587704,0.07848951
0.11774076,0.16366076,0.004759886,0.36571038,0.0026034464,3.0091418e-05,0.07569264,0.0032894579,0.10260974,0.14227325,0.021629618
0.0070265587,0.09366728,0.08422616,0.017765522,0.09762826,0.048843194,0.11036303,0.25128552,0.10233273,0.11278968,0.07407197
0.093837805,0.10638136,0.023219846,2.3964416e-05,0.010274722,0.30809015,0.028452437,0.052300215,0.019859236,0.28782442,0.06973583
0.020376729,0.023396589,0.026996255,0.7372603,0.0009650427,0.00044829844,0.16625683,0.0022111556,0.011301275,0.00032987318,0.010457696
0.01808556,0.118217796,0.003672456,2.122393e-07,0.0053797252,0.49818397,0.19258153,0.11136604,0.011776282,0.037923332,0.002813025
0.19527264,0.1801217,0.07330788,0.100395985,0.09474611,0.014555725,0.010506597,0.09034719,0.015648125,0.13322333,0.09187472
