,B,T,Mal,CAF,Macro,Endo,NK
16x13,1.07E-01,3.58E-01,4.25E-01,2.12E-02,4.68E-02,2.08E-02,2.12E-02
16x14,1.21E-01,3.69E-01,3.85E-01,2.57E-02,5.10E-02,2.43E-02,2.43E-02
16x15,9.58E-02,3.22E-01,4.66E-01,2.12E-02,5.02E-02,2.25E-02,2.30E-02
16x16,1.03E-01,3.19E-01,4.47E-01,2.43E-02,5.51E-02,2.58E-02,2.60E-02
16x17,1.36E-01,3.68E-01,3.53E-01,3.05E-02,5.63E-02,2.85E-02,2.77E-02
16x18,1.34E-01,3.91E-01,3.55E-01,2.55E-02,4.85E-02,2.31E-02,2.26E-02
16x19,1.16E-01,3.49E-01,4.06E-01,2.55E-02,5.35E-02,2.54E-02,2.52E-02
17x4,1.04E-01,3.24E-01,4.39E-01,2.47E-02,5.55E-02,2.61E-02,2.61E-02
17x5,8.85E-02,2.96E-01,4.90E-01,2.18E-02,5.41E-02,2.45E-02,2.51E-02
17x6,8.64E-02,2.93E-01,4.98E-01,2.11E-02,5.31E-02,2.38E-02,2.46E-02
17x7,1.03E-01,3.26E-01,4.42E-01,2.39E-02,5.39E-02,2.52E-02,2.53E-02
17x8,1.14E-01,3.36E-01,4.09E-01,2.76E-02,5.71E-02,2.78E-02,2.80E-02
17x9,1.09E-01,3.39E-01,4.20E-01,2.57E-02,5.47E-02,2.60E-02,2.63E-02
17x10,8.80E-02,2.98E-01,4.93E-01,2.11E-02,5.24E-02,2.35E-02,2.42E-02
17x11,1.03E-01,3.44E-01,4.41E-01,2.11E-02,4.77E-02,2.14E-02,2.17E-02
17x12,1.07E-01,3.52E-01,4.27E-01,2.17E-02,4.79E-02,2.17E-02,2.18E-02
17x13,1.09E-01,3.60E-01,4.22E-01,2.11E-02,4.62E-02,2.08E-02,2.09E-02
17x14,1.01E-01,3.30E-01,4.44E-01,2.34E-02,5.26E-02,2.42E-02,2.48E-02
17x15,9.68E-02,3.17E-01,4.63E-01,2.23E-02,5.24E-02,2.39E-02,2.43E-02
17x16,1.27E-01,3.39E-01,3.83E-01,3.07E-02,6.02E-02,3.05E-02,3.00E-02
17x17,1.20E-01,3.22E-01,3.93E-01,3.31E-02,6.48E-02,3.36E-02,3.37E-02
17x18,1.25E-01,3.73E-01,3.79E-01,2.54E-02,5.03E-02,2.40E-02,2.36E-02
17x19,1.28E-01,3.61E-01,3.76E-01,2.78E-02,5.44E-02,2.67E-02,2.62E-02
17x20,1.34E-01,3.68E-01,3.57E-01,2.97E-02,5.59E-02,2.80E-02,2.71E-02
17x21,1.31E-01,3.84E-01,3.62E-01,2.60E-02,4.96E-02,2.39E-02,2.34E-02
18x4,1.14E-01,3.44E-01,4.16E-01,2.46E-02,5.22E-02,2.46E-02,2.47E-02
18x5,8.79E-02,2.80E-01,4.90E-01,2.45E-02,6.03E-02,2.85E-02,2.90E-02
18x6,1.04E-01,3.50E-01,4.33E-01,2.15E-02,4.80E-02,2.15E-02,2.19E-02
18x7,1.01E-01,3.34E-01,4.50E-01,2.15E-02,4.91E-02,2.23E-02,2.25E-02
18x8,8.70E-02,2.96E-01,4.96E-01,2.10E-02,5.23E-02,2.35E-02,2.42E-02
18x9,8.93E-02,3.05E-01,4.87E-01,2.09E-02,5.15E-02,2.30E-02,2.36E-02
18x10,8.52E-02,2.96E-01,5.01E-01,2.02E-02,5.13E-02,2.27E-02,2.35E-02
18x11,8.89E-02,3.01E-01,4.90E-01,2.09E-02,5.16E-02,2.32E-02,2.38E-02
18x12,1.00E-01,3.17E-01,4.56E-01,2.32E-02,5.34E-02,2.48E-02,2.51E-02
18x13,1.08E-01,3.53E-01,4.24E-01,2.20E-02,4.80E-02,2.19E-02,2.20E-02
18x14,1.12E-01,3.40E-01,4.14E-01,2.61E-02,5.46E-02,2.61E-02,2.64E-02
18x15,1.00E-01,3.18E-01,4.53E-01,2.36E-02,5.43E-02,2.52E-02,2.55E-02
18x16,1.27E-01,3.72E-01,3.74E-01,2.63E-02,5.19E-02,2.49E-02,2.44E-02
18x17,1.27E-01,3.53E-01,3.76E-01,2.96E-02,5.70E-02,2.86E-02,2.81E-02
18x18,1.18E-01,3.41E-01,3.95E-01,2.92E-02,5.86E-02,2.91E-02,2.90E-02
18x19,1.24E-01,3.40E-01,3.88E-01,2.98E-02,5.92E-02,2.98E-02,2.92E-02
