,B,CAF,Endo,Macro,Mal,NK,T
21x8,0.0607712,0.3377957,0.07494633,0.08333736,0.34466684,0.04868942,0.049793106
21x9,9.611125e-05,0.4979859,0.0002507076,0.00020540961,0.00067060057,0.00040629038,0.500385
21x10,0.06312302,0.024104947,0.024495345,0.7357074,0.07378972,0.026501771,0.05227784
21x11,3.711319e-05,0.21456285,1.0538869e-05,0.70677114,0.006853095,0.07172745,3.783283e-05
21x12,0.12149513,0.056261953,0.433858,0.12794839,0.1439778,0.044907693,0.07155113
21x13,9.739427e-05,0.000103798855,0.0033129212,0.9896722,0.0063805487,6.0800252e-05,0.00037227594
21x14,0.23024695,0.196875,0.14131752,0.06083869,0.20717965,0.07331135,0.09023089
21x15,0.18450469,0.05868246,0.231585,0.24354123,0.10580928,0.07996907,0.09590833
21x16,0.06219538,0.2260541,0.3389733,0.1505527,7.7161276e-05,0.08323705,0.13891028
21x17,0.05240829,0.22344986,0.32847926,0.25019205,0.12023961,0.00030522927,0.0249257
21x18,8.236784e-06,0.29560134,0.45994544,0.037626497,1.2491011e-05,0.0007948478,0.20601118
21x19,0.12281905,0.23809254,0.2767083,4.676482e-06,0.00017736082,0.19591184,0.16628622
21x20,0.18667486,0.20755148,0.030880151,0.03931957,0.15520288,0.157907,0.22246404
21x21,0.3406998,0.08887245,0.20991893,0.11129869,0.031358875,0.08714753,0.1307037
21x22,0.31780306,0.07581637,0.2194954,0.032529105,0.13104378,0.11091856,0.11239385
21x23,0.4173583,0.052824464,0.21043344,0.06527545,0.074049234,0.040141236,0.13991787
21x24,0.32075855,0.13656038,0.186121,0.14553635,0.07367749,0.059650432,0.077695824
21x25,0.24413358,0.15425052,0.31754088,0.061119538,0.045304228,0.04544183,0.13220945
21x26,0.28647825,0.07240186,0.19307306,0.10198413,0.13879947,0.022816377,0.18444681
21x27,0.18406853,0.15170431,0.2369872,0.14998621,0.032936685,0.042990144,0.20132686
21x28,0.0005419178,0.21629226,0.23107913,0.12621643,0.21916723,0.2066325,7.0564914e-05
22x6,0.016301852,0.011109401,0.018287774,0.90484035,0.015978988,0.009316188,0.024165345
22x7,1.7510263e-05,2.8792872e-05,7.989547e-05,0.99978644,3.660058e-05,2.743444e-05,2.3294884e-05
