"","cell_ID","B","T","Mal","CAF","Macro","Endo","NK"
"170","170",0.213857248322571,0,0.377523393931283,0.258328520186019,0.0993262727088589,0,0.0509645648512683
"171","171",0.196726183623853,0.00866268891048794,0.243141637012276,0.416131642961375,0.0301683101801688,0.105169537311839,0
"172","172",0.129328101795233,0,0.203899205788661,0.474214325501197,0.100698960889498,0.0716955999261219,0.0201638060992894
"173","173",0.13999961376213,0,0.269224857829228,0.457837626204598,0.0730217447269632,0.0599161574770802,0
"174","174",0,0,1,0,0,0,0
"175","175",0,0,0.969259373023375,0,0.0307406269766252,3.67512743324585e-21,0
"176","176",0,0,1,0,-2.43378150783434e-21,0,0
"177","177",0,0,0.960773956406902,0,0.0392260435930985,0,0
"178","178",0,0,1,0,0,0,0
"179","179",0,0,0.92876681670352,0,0.0712331832964802,0,0
"180","180",0,0,0.977603018360895,0,0.0223969816391051,0,0
"181","181",0,0,0.957391615561171,0,0.0268572916249875,0.0157510928138412,0
"182","182",0.550692309313825,0.0293394380885075,0,0,0.414470065397852,0,0.00549818719981567
"183","183",0.180546798003537,0.0779296929904803,0.305842588993538,0.0839020023461046,0.262783521644997,0.0724595045583581,0.0165358914629855
"184","184",0.151326180740314,0.0714630377551099,0.262306801794606,0.330688671087047,0.114164910235308,0.0700503983876158,0
"185","185",0.100954842160609,0.0519745740369158,0.240859545418083,0.383588735043365,0.0934503166579007,0.129171986683127,0
"186","186",0,0,0.649536688165713,0.281429808226477,0.0690335036078096,0,0
"187","187",0.120727856129225,0,0.425725256168261,0.233756831204499,0.0655637840170677,0.154226272480946,0
"188","188",0.320360194038263,0,0.267670570388264,0.281415771875255,0.130553463698217,0,0
"189","189",0.410774530256704,0.101061551875327,0.0318558750744153,0.243075123696645,0.145450687412927,0.0677822316839821,0
"190","190",0.54047607818534,0.191606876901444,0,0,0.267917044913215,0,0
"191","191",0.724907901049302,0.0953634644713784,0,0,0.179728634479319,0,0
"192","192",0.264339527960617,0.0294514967468372,0.251091420814814,0.359203828669781,0.0319309086149493,0.0639828171930011,0
