,GC,PGC,OSNs,M/TC,EPL-IN
25x15,0.08046746,0.21478428,0.15311274,0.36024138,0.19139418
18x14,0.07430164,0.052572012,0.26951334,0.33076006,0.27285302
15x14,0.09694244,0.32209027,0.0,0.5752798,0.0
16x14,0.14087996,0.29599884,0.0,0.3991592,0.16161764
14x14,0.22716883,0.22954158,0.0,0.31346592,0.22871962
10x26,0.1463709,0.47735107,0.0,0.36594445,0.0101278955
11x26,0.21685635,0.14118922,0.0,0.47065014,0.1704869
12x26,0.71578896,0.0,0.0,0.22344655,0.05429888
14x26,0.615634,0.011001374,0.0,0.24240223,0.13074349
13x26,0.7852596,0.0,0.0,0.14225426,0.067431815
15x26,0.56734097,0.0,0.0,0.18043534,0.2456112
16x26,0.51582843,0.0,0.0,0.2501351,0.22460355
25x26,0.8519056,0.0,0.0,0.08104918,0.064094745
26x26,0.27978897,0.0,0.0,0.7113224,0.0
27x26,0.17228793,0.12061347,0.012899349,0.46567142,0.22852781
28x26,0.07343683,0.25741103,0.0,0.424294,0.24369697
29x26,0.30833474,0.18341587,0.0,0.46653593,0.039516706
17x26,0.5449341,0.017913263,0.0,0.3170408,0.12005616
18x26,0.1796245,0.22461414,0.0,0.5833932,0.0114442
19x26,0.19884787,0.35689908,0.0,0.4090784,0.03377764
20x26,0.23020364,0.16624457,0.011056793,0.44185257,0.15064242
21x26,0.073751345,0.30006245,0.0,0.43426546,0.19187753
22x26,0.4909565,0.0,0.0,0.48724756,0.016021017
24x26,0.72757095,0.0,0.0,0.2383173,0.031030172
23x26,0.6396719,0.021679834,0.0,0.2625273,0.07601093
23x28,0.45316333,0.10325891,0.0,0.42743024,0.014828797
24x28,0.36072147,0.0,0.0,0.627952,0.0
24x27,0.6841633,0.010620444,0.0,0.17710356,0.12808813
23x27,0.9998342,0.0,0.0,0.0,0.0
22x28,0.22689013,0.34315038,0.0,0.4229821,0.0
22x27,0.26613906,0.2438481,0.0,0.46635446,0.022629542
27x27,0.14612234,0.26124662,0.0,0.58656687,0.0
27x28,0.1486396,0.22167237,0.0,0.38875362,0.23670383
25x27,0.1400062,0.025593478,0.0,0.83304507,0.0
26x28,0.086847305,0.33666697,0.0,0.44564393,0.1305234
25x28,0.2704548,0.15558687,0.0,0.44349328,0.13008018
26x27,0.23210004,0.096922055,0.0,0.6607522,0.0
16x27,0.6507372,0.0,0.0,0.20787545,0.1353072
16x28,0.5079961,0.017583009,0.0,0.4648331,0.0
15x27,0.67534006,0.0,0.0,0.29685447,0.02636713
15x28,0.63238925,0.0,0.0,0.21766934,0.14388378
13x27,0.5675226,0.0,0.0,0.29299253,0.13561459
