,EPL-IN,GC,M/TC,OSNs,PGC
14x14,0.19332539,0.09146927,0.07826414,0.43804902,0.19889225
10x26,0.08752422,2.349692e-06,0.17534412,0.20559439,0.53153497
11x26,0.14475763,0.126806,0.15229823,0.46285966,0.11327851
12x26,0.17491634,0.5290264,1.3319769e-05,0.27405223,0.021991733
14x26,0.15270211,0.5425688,1.0831284e-05,0.25401357,0.050704747
13x26,0.13909605,0.5676165,4.9462715e-06,0.24072507,0.052557427
15x26,0.22397414,0.5445016,4.0088826e-06,0.21887293,0.012647267
16x26,0.096818246,0.5891542,1.2668737e-05,0.30981886,0.004196008
25x26,0.09737174,0.59917253,1.7997129e-06,0.17660885,0.12684506
26x26,0.16670488,0.052004475,0.40662935,0.20179203,0.1728692
27x26,0.17960429,1.9291288e-06,0.12583125,0.6544444,0.04011819
28x26,0.16935597,2.6311072e-06,0.23642296,0.29343352,0.30078492
29x26,0.17356353,0.16488485,0.25142866,0.24715962,0.1629634
17x26,0.21021473,0.4293591,0.05588477,0.2703953,0.03414604
18x26,0.12484523,1.9142715e-06,0.32817572,0.457663,0.08931411
19x26,0.0059892,1.5060014e-05,0.20462777,0.28355005,0.505818
20x26,0.00039565354,0.30594796,0.22862561,0.26134717,0.20368366
21x26,0.16507488,7.513289e-06,0.23810573,0.19779555,0.39901632
22x26,0.07411208,0.35964566,0.20242326,0.34622574,0.017593287
24x26,0.09071626,0.6798251,0.015962433,0.21347722,1.8946057e-05
23x26,0.116722345,0.530409,8.954465e-06,0.2851743,0.067685455
23x28,0.055842165,0.28024226,0.13254845,0.4866621,0.044705003
24x28,0.11781607,0.1808325,0.24699152,0.45416594,0.00019398233
24x27,0.15799546,0.6538151,3.1248221e-06,0.18809867,8.764624e-05
23x27,4.9881506e-05,0.8626675,0.13606237,0.0011942255,2.6093558e-05
22x28,0.109899275,0.07459098,0.19786188,0.2220845,0.39556342
22x27,0.06158374,0.17872871,0.15376198,0.48624334,0.119682156
27x27,0.04385877,1.3647443e-06,0.42470014,0.25292414,0.27851555
27x28,0.20286599,3.0265326e-06,0.21457784,0.28591403,0.29663917
25x27,0.055659644,3.8446324e-06,0.54577416,0.18382308,0.21473925
26x28,0.17535233,3.6625229e-06,0.20961095,0.2679893,0.34704378
25x28,0.12522408,0.00044748554,0.20624858,0.5721341,0.09594575
26x27,0.07800926,3.5149124e-06,0.22862083,0.5924547,0.1009117
16x27,0.15876691,0.6854526,0.005317929,0.15041314,4.948864e-05
16x28,0.15253034,0.40062913,0.20732614,0.1752199,0.06429449
15x27,0.13862361,0.56049925,0.013540066,0.21373852,0.07359848
15x28,0.15859146,0.5354493,0.046730816,0.24698304,0.01224536
13x27,0.18772241,0.495273,0.037389923,0.25148103,0.028133664
14x28,0.09481721,0.19144912,0.42174882,0.2184561,0.07352875
14x27,0.15930654,0.42435348,0.056138247,0.1836577,0.17654404
13x28,0.00044510895,0.29663035,0.12378784,0.459401,0.11973566
11x27,0.11796792,5.18332e-05,0.34323812,0.25148803,0.28725412
12x28,0.08767955,0.009563508,0.39083537,0.11576277,0.39615887
12x27,0.12736826,0.19429763,0.1466485,0.49849948,0.033186156
17x27,0.13407013,0.26120433,0.31503522,0.20770338,0.08198694
18x28,0.17333122,2.411727e-06,0.18587112,0.06710598,0.5736893
18x27,0.05319735,9.798918e-07,0.41188642,0.43025872,0.10465647
17x28,0.13530496,4.3085943e-06,0.32815394,0.39165148,0.1448853
14x29,0.19781885,0.36871552,0.17509225,0.13903734,0.11933602
16x29,0.08312089,0.17105953,0.20646733,0.3097134,0.22963883
15x29,0.14272708,0.29576632,0.202325,0.22409172,0.13508987
17x29,0.12189426,0.034602482,0.25952798,0.29410198,0.28987327
10x27,0.21884014,0.30893785,0.117559284,0.09694223,0.25772056
8x23,0.26811936,0.16560984,0.2979342,0.26749888,0.0008375756
21x27,0.075401545,3.02781e-06,0.044110812,0.085564055,0.79492056
19x27,0.20917541,0.000451701,4.8557944e-05,0.41045463,0.37986967
28x27,0.17695616,6.7527226e-06,0.027096206,0.22090748,0.5750334
24x29,0.1345299,0.12690012,0.1775359,0.19315256,0.36788154
25x29,0.2984214,0.061007973,0.03199206,0.0901967,0.5183819
30x19,0.27574414,0.035258442,0.118676074,0.57031536,6.0234506e-06
