EPL-IN,GC,M/TC,OSNs,PGC
0.09182694,0.002082336,0.6272893,0.06715328,0.21164817
0.0465215,0.0021396242,0.472902,0.13456267,0.34387416
0.09392986,0.72858286,0.14949246,0.027494982,0.000499812
0.17130941,0.11855137,0.5413959,0.10010932,0.06863399
0.19071454,0.0010650059,0.6482587,0.08382189,0.07613982
0.1498719,0.18510103,0.6311994,0.017961215,0.015866432
0.0321095,0.25031742,0.7132983,0.0012345865,0.0030401698
0.028499842,0.9491075,0.021128938,0.0011109627,0.00015264493
0.031418983,0.91377,0.051293414,0.0034194181,9.8170436e-05
0.03052748,0.21544893,0.73186255,0.016288064,0.005872964
0.037709553,0.027364023,0.38953465,0.18283452,0.36255726
0.003112562,0.016891247,0.4780519,0.11436665,0.38757765
0.03740451,0.13568413,0.5801848,0.0049792835,0.24174722
0.013719672,0.07483078,0.7528731,0.019178864,0.13939759
0.18680085,0.047106657,0.36323306,0.017771944,0.38508746
0.040001035,0.05564465,0.65803146,0.004250475,0.24207231
0.05462396,0.93285227,0.011417729,0.00021269597,0.0008933542
0.083790995,0.3752724,0.41051307,0.10827426,0.022149295
0.049909133,0.7918711,0.15582515,0.0013196582,0.0010749971
0.04406194,0.8863216,0.06518718,0.0038410965,0.00058814546
0.019440979,0.9792401,0.0005406846,0.00075473683,2.3494697e-05
0.008299429,0.9879525,0.00025677745,0.001434745,0.0020565349
0.010166002,0.98890555,0.00017892415,0.0005708331,0.00017870063
0.008144838,0.98966366,0.00023123229,0.0019477423,1.2496476e-05
0.17942934,0.6918853,0.002977195,0.12523897,0.00046917718
0.0052863983,0.88388455,4.811118e-05,0.11074162,3.9365837e-05
0.007077083,0.78415346,0.0003780184,0.20834036,5.1087623e-05
0.0053204563,0.99433017,3.4026139e-06,0.0003266107,1.9354562e-05
0.031871412,0.7414313,3.487885e-05,0.22458899,0.0020734088
0.018841475,0.8826264,0.008342674,0.08993867,0.0002507411
0.00011596424,0.029278843,2.9406401e-06,0.9682274,0.0023748404
0.0017980884,1.9333167e-05,2.0084283e-06,0.99507487,0.0031056614
0.003107665,1.1576568e-05,6.209747e-05,0.9932314,0.0035872413
0.0011235212,3.1488685e-06,0.02711884,0.9509808,0.02077374
0.0034868447,1.83456e-07,0.18613058,0.75804067,0.05234172
0.0045894505,9.796033e-07,0.07268657,0.5354998,0.3872232
0.0028571347,0.0023778318,0.0007259579,0.9488105,0.04522853
0.0008066066,3.919656e-06,0.0003092576,0.97432107,0.02455915
3.2060816e-05,2.4079029e-07,5.5279293e-06,0.988585,0.011377174
0.000327577,3.1883862e-06,6.6459647e-06,0.99359787,0.0060648234
0.0017476224,6.8394512e-09,0.0005167894,0.982249,0.015486596
0.09443678,0.23241481,0.2609571,0.40548882,0.006702513
0.11754819,0.14359707,0.43283027,0.28803763,0.017986882
0.07431656,0.0018024766,0.4361892,0.4090206,0.07867113
0.032127883,1.6244532e-05,0.1494696,0.5062612,0.31212503
0.05779668,0.048077043,0.42528382,0.36429203,0.10455048
0.022599123,0.000105822684,0.15905556,0.44848186,0.3697576
0.05246928,0.14549118,0.6603871,0.13890895,0.0027434588
0.02253579,0.94916284,0.024102796,0.004184104,1.4453265e-05
0.12828347,0.008997356,0.47370467,0.2343671,0.15464738
0.12056981,0.2878057,0.30959103,0.08165064,0.20038281
