B-cells,CAFs,Cancer Epithelial,Endothelial,Myeloid,Normal Epithelial,PVL,T-cells
0.23268001,0.19422944,0.00080027414,0.26185215,0.032453984,0.00131859,0.27229622,0.0043693623
0.26192722,0.19730851,0.0016848203,0.18516922,0.17189837,0.0026756804,0.098085836,0.08125028
0.07687323,0.04494903,0.23837996,0.0017035964,0.19630904,0.30487454,0.039893992,0.097016625
0.12293135,0.24564199,0.08561348,0.08215631,0.2729199,0.0040046205,0.08321518,0.10351722
0.226981,0.1798428,0.021260966,0.028681261,0.16235417,0.09019023,0.14887357,0.14181599
0.1746098,0.004593082,0.29598594,0.0039104247,0.0053541563,0.4671007,0.047472462,0.0009734662
0.07843952,0.09140142,0.111710265,0.3256775,0.071502484,0.088996805,0.12008696,0.11218503
0.12957455,0.09266464,0.054753587,0.1554418,0.13924025,0.3183359,0.10033773,0.009651542
0.0924293,0.3446071,0.024603382,0.06364615,0.09538622,0.0253418,0.22568782,0.12829822
0.00029844273,7.079403e-05,0.38072354,0.000533428,1.6229755e-05,0.43260378,0.18498299,0.0007708479
0.33031586,0.050477818,0.025666667,0.029497258,0.18788335,0.009979825,0.025315516,0.34086376
0.041594252,0.14739993,0.3223307,0.009815205,0.070306696,0.071349934,0.19449055,0.14271273
0.1299448,0.00226627,0.007218359,0.064731754,0.21832173,0.34997213,0.21822655,0.009318404
0.017509405,0.15382159,0.25201166,0.089423254,0.32687178,0.0059311334,0.028995492,0.12543571
0.25954908,0.38343602,0.07500415,0.14581034,0.030434623,0.0006488719,0.07130933,0.03380756
0.15285192,0.023907514,0.015623763,0.15236004,0.028932974,0.17283574,0.26602384,0.18746424
0.25611472,0.103528745,0.064185426,0.05675187,0.2175366,0.07181045,0.009484648,0.22058755
0.40016943,0.08516624,0.02434591,0.004455265,0.13149653,0.007847929,0.01759254,0.32892615
0.38369963,0.02485179,0.013440422,0.044904187,0.11540139,0.31096384,0.031710267,0.07502848
0.06798907,3.788646e-05,0.0699145,0.00015706134,0.0062154355,0.6499381,0.20495161,0.00079634256
0.29911625,0.0772519,0.12614849,0.13708581,0.124035,0.07435203,0.03912217,0.1228883
0.06534609,0.18614632,0.0330211,0.39805904,0.10088222,0.12489274,0.043166198,0.048486277
0.3480173,0.089414485,0.007594431,0.07420678,0.26257107,0.04452004,0.03510147,0.13857447
0.0017849961,0.00053957035,0.37852493,0.0036389828,2.330649e-05,0.43066174,0.17930679,0.0055196574
0.006282421,0.28115505,0.4978941,0.014207011,0.0032851617,0.0002709811,0.023458712,0.1734466
0.1802541,0.0005627688,0.08897483,0.09381726,0.18778384,0.31294668,0.058634244,0.07702627
0.03858935,0.14282018,0.0004097957,0.43054584,0.00017647503,0.00069385,0.29640526,0.09035925
0.0061453083,0.042640164,0.07384668,0.005328138,0.22644569,0.34221044,0.2666101,0.036773495
0.0062117833,0.014519846,0.059840072,0.232063,0.2422484,0.22286636,0.12855914,0.09369146
0.11710712,0.004020712,0.03653675,0.083934486,0.280724,0.2947697,0.12912457,0.05378267
0.000111754365,0.18813017,0.33248377,0.05212163,0.0005847061,0.13391939,0.0712405,0.22140813
0.2727422,0.012546876,0.0065839253,0.04835497,0.24141139,0.2066826,0.01021822,0.20145983
0.023665024,0.28184032,0.23488942,0.10297076,0.25204563,0.0116878655,0.0545467,0.038354248
0.009042627,0.0029685108,0.2542775,0.12032272,0.0034781878,0.39715528,0.10962897,0.10312615
0.2762153,0.17795938,0.012958206,0.09467719,0.22638455,0.018202517,0.086695984,0.106906906
0.20693077,0.0010982058,0.033846915,0.0025564157,0.20801686,0.3473032,0.022869365,0.17737822
4.573676e-05,0.15864839,0.514918,0.09188275,0.0017274418,0.0010206643,0.021626769,0.21013024
0.2214745,0.06350213,0.01363943,0.0120775,0.20554456,0.20510283,0.024185037,0.25447407
0.09138104,0.0024245323,0.020949671,0.093432605,0.15255275,0.3362996,0.01910792,0.28385186
0.2907716,0.13120887,0.00039958453,0.036402628,0.18103544,0.00021885021,0.020651836,0.33931118
0.22139984,0.1962992,0.0070969136,0.039996866,0.10098292,0.11670167,0.3065123,0.011010291
0.07350554,0.2525198,6.1268856e-06,0.2013193,0.045988925,1.1260417e-05,0.35860378,0.06804528
