,T,Mal,B,Macro,Endo,CAF,NK
13x15,0.3024116059226318,0.5768169659674726,0.1001797439372033,0.01963235772131335,9.747373814291099e-05,0.0003218115088323659,0.0005400412044037399
13x16,0.1754002347783904,0.20161193718132323,0.04118280271798274,0.5525292699330377,0.021074823791423704,0.003388207896768583,0.0048127237010736085
13x17,0.1296389662731121,0.01607741047962524,0.01011788754026467,0.04604696836413163,0.2475249140658255,0.5497534840589026,0.0008403692181383079
13x18,0.12264439659988918,0.0687669350953154,0.14135969947067,0.2623172490244834,0.0006692174158435138,0.4041925269917077,4.997540209081092e-05
14x7,0.26912643521759444,0.6636320241812637,0.047753024697676366,0.003730747750028502,0.006569961026126552,0.0016030760314457368,0.007584731095864763
14x8,0.2511040690955633,0.7422558255938341,0.002734314197744786,0.0022378148854271165,0.0006348427693545144,0.0005562237679962867,0.0004769096900799409
14x9,0.011562048945268064,0.02567977199646423,0.0272612087793699,0.040182953955490264,0.0004133352261506769,0.13872696910023818,0.7561737119970187
14x10,0.3077093754215569,0.6806206508035895,0.005676421323186771,0.004832109770692999,0.00014557463400441544,2.896220526761075e-05,0.0009869058417018056
14x11,0.34067537539670034,0.5118336244156966,0.14657544203495987,9.029416798567517e-05,0.0003745533037441739,0.00014048794211576153,0.0003102227387975795
14x12,0.2560945071653475,0.5923525120370065,0.15092099362290615,0.0001381758532901271,5.468974635733439e-05,0.0002089032543056921,0.00023021832078677195
14x13,0.31523725995425356,0.32149870186873114,0.25506707614484175,0.07485470142357213,0.0010949854323651725,0.0016158883658002885,0.030631386810435927
14x14,0.03996452691765,0.10737271366087951,0.0410840251313832,0.15880948391353975,0.0007821063822383318,0.0033432713001245095,0.6486438726941847
14x15,0.29118257534592085,0.5318241060381181,0.017488715134218433,0.15678387376887284,0.0022273274896982094,0.0002008919396406684,0.00029251028353086307
14x16,0.15555144031950513,0.1456783415247992,0.33987492329898766,0.24374686712716226,0.11347138824433074,0.0013303978544380519,0.0003466416307769648
14x17,0.11767417652280555,0.0016022230521316417,0.05029336161179874,0.20508153919600114,0.006371747096000507,0.618853153943653,0.00012379857760936726
14x18,0.04930186086082126,0.04810755888762716,0.06050674728831832,0.16094987469038205,0.4030922669798511,0.27785856361330535,0.00018312767969473067
15x5,0.1821934148035321,0.14500791539756616,0.3097250427035998,0.3572511687267285,0.0032778638670399977,0.00019303949597006888,0.0023515550055633553
15x6,0.09630626561059924,0.09637339247367442,0.03562848834937738,0.15719824969441584,0.06628660975463693,0.0019005284019273714,0.5463064657153688
15x7,0.17711684544719808,0.22183669087801605,0.008995452881294419,0.5032854212272372,0.002534613809035037,0.0834899877008431,0.002740988056376115
15x8,0.16865722937386687,0.23339039059273467,0.0016932276249184233,0.5118508224622232,0.08312610047604678,0.0009808964582022355,0.0003013330120077582
15x9,0.17647904360237776,0.3327410154726097,0.07859856966886841,0.3725926166074569,0.00016561671887961441,0.03864639014668368,0.0007767477831239553
15x10,0.2418687312981516,0.740202955936814,0.007739917431214859,0.0012526415894525658,0.007286540924142664,0.0002211852852360274,0.0014280275349883187
15x11,0.29803642922178897,0.39042782428013667,0.0015909474529316081,0.00035260209122988897,0.3085639054062298,0.0004991432502395742,0.0005291482974435161
15x12,0.3718414937341926,0.3953166685846432,0.22774970929738733,0.002096275673053253,0.0007337109362795779,0.0016847906419246252,0.0005773511325193751
15x13,0.2598347825166788,0.6468641042652477,0.09106478703349703,0.000137803238296123,0.0015614829589536356,0.00031326598345571136,0.0002237740038710244
15x14,0.2742432755105708,0.6426449899099509,0.07475123486172064,0.006749045615120448,0.000504723816051403,0.00024151442780452422,0.0008652158587812824
15x15,0.37406450275507247,0.5751893026639514,0.02704924849346532,0.017385658288362714,0.00498722169558063,0.0006379844708089681,0.0006860816327585125
15x16,0.21547103861051725,0.4738352639433404,0.0006737149977660095,0.29869742245724895,0.0007311112139598439,0.0012890197710813394,0.009302429006086204
15x17,0.12800749578341042,0.025953671743394805,0.09516452073930033,0.2952139561066672,0.07939269262906913,0.37596320968288066,0.0003044533152774645
15x18,0.21845227899040873,0.11885917762845145,0.46470678287845285,0.18151026946508214,0.010616284285938986,0.0010787229351309378,0.0047764838165349
16x3,0.36814526970953754,0.2624364111760094,0.3300543413846887,0.025645490503813186,0.004049386183201019,0.0026493945183482873,0.00701970652440187
16x4,0.422770174311435,0.4704361752051601,0.08630834245985607,0.013018867414333772,0.005205800786569344,0.0007491101509753648,0.0015115296716703764
16x5,0.35596024415720084,0.598141036698805,0.04460126003743889,0.00046601604462392845,0.0004447419534158093,8.506267819101536e-05,0.00030163843032453134
16x6,0.2736717966571063,0.5447048766506044,0.08415977516153414,0.09630051524972415,8.427364547092317e-05,0.0006454647128403757,0.0004332979227197101
16x7,0.20213296770145323,0.44649684430269654,0.004786819905858803,0.34593969060873037,8.336578490475961e-05,0.00037048625896725563,0.00018982543738905238
16x8,0.14840609134249497,0.17617919586241593,0.006982257956120596,0.22489133833636588,4.678830747754417e-05,0.08884194059054881,0.3546523876045763
16x9,0.28741636643018936,0.6914624991210281,0.018987072325975036,0.00032004346042998114,0.000818694422168102,0.00031162019004537465,0.0006837040501640217
16x10,0.37619538828239696,0.6008348157732842,0.01357392459477572,0.0031833520934836613,0.003919583409908342,0.0015062533500024716,0.0007866824961486367
16x11,0.2763272727165272,0.7002797310488053,0.015650530497219293,0.004003037773107413,0.0012431301788353051,0.0006561742483852833,0.0018401235371202863
16x12,0.3123092616667691,0.6803886118513854,0.0067297875410582235,0.00017423434178503547,9.751849805307836e-05,8.481120893704816e-06,0.00029210498005542517
16x13,0.320193685681282,0.5652608641619401,0.0972863037261871,0.009129013546025442,0.0013661474271200172,0.0022351171100295814,0.00452886834741582
16x14,0.29997918731332246,0.518961122698525,0.17999111230480128,0.000719446902419299,0.00012066520103930865,8.413971755376966e-05,0.00014432586233886614
16x15,0.2750914152691054,0.6049508708079411,0.01424088721876631,0.10453011109593749,0.00041541449703590627,0.00018460918215923187,0.0005866919290546397
16x16,0.22160450926067965,0.22858689107861516,0.10255260448780434,0.42162261212542357,0.0247894734112564,0.00042629155379728605,0.0004176180824236019
16x17,0.12477201887750282,0.008120425795666656,0.005401006635105519,0.24845104918737546,0.0707506555681699,0.5418717067227997,0.0006331372133798933
16x18,0.21146281880360976,0.20311143064537587,0.33704082281444936,0.06602192895533088,0.13389040890948625,0.048294782386237606,0.00017780748551025753
16x19,0.31070185351645174,0.11302757217344488,0.28785324761972836,0.039557882292572205,0.005114340569064305,0.2404522588050171,0.003292845023721374
17x4,0.2902574732010344,0.08046320558181674,0.013088538924053808,0.614075698133313,0.0007117087931714252,0.0004730648147941449,0.0009303105518165067
17x5,0.2198696346623657,0.2661366663452458,0.0024878373359681345,0.5090848390039904,0.00010310509217722138,0.0008051294127374828,0.0015127881475152688
17x6,0.07402124574875282,0.16829487726014927,0.0060267810437288905,0.08775455423091326,1.910039669221942e-05,0.00014485168277051256,0.6637385896369931
