"","cell_ID","Endothelial cells","Fibroblasts","PVL","B cells","PCs","T cells CD8","T cells CD4","NK cells","Monocytes and Macrophages","Dendritic cells","Epithelial cells"
"75","75",0.117469834531877,0,0.165621019191699,0,0,0,0.0353479054452899,0.000972359723844441,0.242503210032632,0.00237469222931671,0.435710978845342
"76","76",0.00417222744603427,0,0.0130382207699239,0,0,0,0,0,0,0,0.982789551784042
"77","77",0.127560736084099,0.522491817252071,0.0233189604411082,0,0.0283847400485922,0,0,0,0.144152127877569,0,0.154091618296561
"78","78",0.0818801880511354,0.153152544866046,0.0469383989937441,0.00851791120109814,0.011521974224208,0,0.0393392673628909,0.00438054294743225,0.0930400348364586,0,0.561229137516986
"79","79",0.0116668413437568,0.726422857609469,0,0,0.0723586535622255,0,0,0,0.189551647484549,-7.42200549860673e-20,0
"80","80",0,0,0.0579058942752627,0,0,0,0.0767134492602945,0,0.207454817103725,0,0.657925839360718
"81","81",0.0773509281046968,0.439461982717778,0.0241028813049748,0,0.028675603498011,0.0729903599162364,0.0210424042807425,0,0.33637584017756,0,0
"82","82",0.0985493094026159,0.0510618224733065,0.100480578920281,0,0.017232777195817,0.00140683685303225,0.104950182612751,0.02563598681667,0.204218111744468,0,0.396464393981058
"83","83",0.0764009323687068,0.101970129752066,0.0868676216392956,0,0.0103514850221691,0,0.0172376791308312,0.00181747981340562,0.0478947368916028,0,0.657459935381923
"84","84",0.0562279579896895,0.396466525820786,0.0211030101834812,0.0325890133980451,0.093278297202694,0,0.130223256413102,0,0.15439108394364,0.0350375993376882,0.0806832557108746
"85","85",0.0707979254398819,0.173126718421997,0,0,0.0552451003580304,0.019866710405138,0.0304611896108632,0.0315189827450266,0.257452265441752,0,0.361531107577311
"86","86",0.0531869522630285,0,0.0403771292883406,0,0,0.0006897751936409,0.0152705931516316,-5.83335862974419e-19,0.706128245475482,0,0.184347304627877
"87","87",0.0711138623689076,0.238475465686945,0.0305223242151185,0.0477246087100912,0.167011494049609,7.41744982829748e-20,0.077043445279724,0,0.331032782578531,1.96765460510639e-18,0.0370760171110741
"88","88",0.0486185583168074,0.292033867629084,0,0,0.356611665536072,0,0.0291007287377458,0,0.122691361131882,0,0.150943818648409
"89","89",0.0316855316742199,0,0.122471877308758,0.0100468692051209,0,0,0.0879661390521693,0.0192060107885844,0,0,0.728623571971147
"90","90",0.0873024203228439,0.250476542603971,0.00928466955379178,0.0114420800048795,0.236713867525181,0,0.0940011263308239,0,0.127107767239495,0.0296799219535665,0.153991604465447
"91","91",0.0635695633666684,0.348010849328096,0.024275390815606,0,0.257436643825703,0,0.0750890512768433,0,0.105149432618475,0,0.126469068768608
"92","92",0.0499551014507081,0.220749391203657,0.0843764015141722,0.00650653400207292,0,0.0214777813047323,0,0,0.130989973814983,0,0.485944816709675
"93","93",0.13584107868641,0.293148424593528,0.0348496472958603,0,0.203063950328748,0,0.0356765216473114,0,0.179100642634051,0,0.118319734814092
"94","94",0.0736997038890463,0.4465525617482,0.0286100353377589,0,0.0311672379129494,0,0.0500070145903535,0.0116309523941317,0.1959144316468,0,0.16241806248076
"95","95",0.029721615910233,0.563177038603823,0.0200665422076222,0,0.0995971118678266,0,0,0,0.0595143618796866,0,0.227923329530809
"96","96",0.047638303172377,0.572086069818267,0.039455238724777,0,0.00901080912800672,0,0.0261753412602695,0,0.238996896306874,0,0.0666373415894285
"97","97",0.0261804106140372,0.43237077971585,0,0,0.075785019469564,0.032485835785678,0.0108944998334375,0,0.204496337768447,0.0363506336756631,0.181436483137323
"98","98",0.0627024736110028,0.276260040313965,0.0459719514306334,0.0133856838201438,0.0404264515010411,0,0.0262607776709465,-1.45545155956877e-19,0.195025719026765,0,0.339966902625502
"99","99",0.0529819502487243,0.337337628433569,0,0,0.0813485821206433,0,0,0,0.313608556009564,0,0.214723283187499
