B,CAF,Endo,Macro,Mal,NK,T
0.21988681,0.018966164,0.045103826,0.1430703,0.31612837,0.054036617,0.2028079
0.19020773,0.07296942,0.04403329,0.1928998,0.08116275,0.11306275,0.30566424
0.05433635,0.20522907,0.010265026,0.13363865,0.016251383,0.19372693,0.38655257
0.16102137,0.008804817,0.008245636,0.16315037,0.26497495,0.058484264,0.33531862
0.096615516,0.0030562805,0.011763656,0.018956665,0.73521316,0.0084523605,0.12594232
0.021003557,0.0061395816,0.033036962,0.06573569,0.7232111,0.006577296,0.1442958
0.09681817,0.012492281,0.03068979,0.27373958,0.42016944,0.028097682,0.13799301
0.04385047,0.015145255,0.015015654,0.12268997,0.46965003,0.012579293,0.3210693
0.014750609,0.06813006,0.052030325,0.2227895,0.22664553,0.11272749,0.30292645
0.0928418,0.2698152,0.029702503,0.16002825,0.04592028,0.09261075,0.3090812
0.080811866,0.35337403,0.02299437,0.28828833,0.034310665,0.08313849,0.13708228
0.03049576,0.009153264,0.019443862,0.052586406,0.6886679,0.0049293404,0.19472356
0.07647137,0.016555324,0.020748273,0.024843326,0.52498806,0.01668214,0.31971154
0.098104216,0.12586552,0.029044257,0.17626694,0.23691213,0.027995996,0.305811
0.038361963,0.0064507043,0.033507258,0.033183042,0.5801704,0.16390139,0.14442535
0.022616688,0.006063202,0.017234784,0.023889566,0.7348765,0.022271013,0.17304818
0.0077788536,0.005222384,0.022330554,0.010985921,0.74084806,0.0087138675,0.20412037
0.10160844,0.12133315,0.024414262,0.07229191,0.55733085,0.023789734,0.09923161
0.037914313,0.014250016,0.0153736565,0.2751891,0.46681726,0.02820567,0.16225006
0.014882512,0.030013422,0.014419761,0.12172153,0.65828544,0.010461266,0.15021606
0.17840692,0.035592236,0.07277429,0.14911228,0.25993925,0.10671319,0.1974618
0.043704674,0.24710187,0.036024794,0.29234463,0.0507164,0.031848952,0.29825866
0.18384336,0.2625722,0.031929806,0.14170273,0.0507707,0.040537197,0.28864402
0.12910387,0.020065922,0.011786867,0.12054809,0.28688395,0.113830544,0.3177808
0.05679402,0.12515654,0.053460836,0.020421058,0.26734915,0.009098932,0.46771944
0.037755102,0.009309474,0.020858297,0.0076927114,0.6567549,0.004619441,0.26301005
0.12314332,0.022215791,0.017746445,0.039414614,0.46886474,0.026546914,0.30206823
