"","EPL-IN","GC","M/TC","OSNs","PGC"
"27.995x20.017",0.287363361697973,0,0.285631937086276,0.275159462103895,0.151845239111857
"25.06x19.024",0.277713908665553,0,0.438578086902334,0,0.283708004432112
"25.062x20.007",0.261891503920679,0,0.424827089909532,0,0.313281406169789
"26.027x20.023",0.226152110421175,0,0.284717275358854,0,0.489130614219971
"26.064x17.981",0.243279194038983,0,0.0552026094151465,0,0.701518196545871
"25.044x18.022",0.281039925959077,0,0.328414054343053,0,0.390546019697869
"26.071x18.994",0.257274325023082,0,0.0288683023310666,0,0.713857372645851
"26.111x21.979",0.273740606539524,0,0.562899172932832,0,0.163360220527643
"25.055x21.994",0.151490036683835,0.463958719854237,0,0,0.384551243461928
"26.076x20.965",0.196497112153807,0,0.369302788679607,0,0.434200099166587
"25.04x21.01",0.350770064012456,0,0.317458870392585,0,0.331771065594959
"27.937x20.97",0.327819596426933,0,0.192331509316135,0,0.479848894256932
"27.038x20.951",0.248172017887919,0,0.300547232838118,0,0.451280749273963
"26.991x21.958",0.332147085698672,0,0.351136667455691,0,0.316716246845637
"27.97x21.947",0.234656575081977,0,0.171361070990271,0,0.593982353927752
"27.977x22.897",0.280955110448758,0,0.5028364570522,0,0.216208432499042
"28.0x23.902",0.235164581354562,0,0.350851642440097,0,0.413983776205341
"27.012x22.908",0.26084594584464,0,0.464425823009027,0,0.274728231146332
"26.993x23.896",0.264602263874091,0,0.461962375988422,0,0.273435360137487
"26.03x23.935",0.136858473243337,0.459739711780384,0,0,0.403401814976279
"26.072x22.884",0.215653549300181,0.331380787489732,0,0,0.452965663210087
"25.107x22.896",0.189878294070017,0.386722041496152,0,0,0.423399664433831
"25.119x23.921",0.0767254470785927,0.373920153792458,0,0,0.549354399128949
"25.013x24.806",0.129873800717134,0.362527128632848,0,0,0.507599070650019
"26.159x24.845",0.215877793456664,0.395671787530319,0,0,0.388450419013016
"27.976x24.882",0.300637532429847,0,0.327979265494484,0,0.37138320207567
"27.031x24.865",0.212813320952628,0,0.504648925176652,0,0.28253775387072
"28.98x23.89",0.242371537951624,0,0.0678368780253041,0,0.689791584023072
"28.994x22.861",0.21793403083861,0,0.147835166444598,0,0.634230802716792
"29.007x24.906",0.374769179916358,0,0.167186779168612,0,0.45804404091503
