L2/3 IT CTX-1,L4/5 IT CTX,L5 IT CTX,L5 NP CTX,L5 PT CTX,L6 CT CTX,L6 IT CTX,L6b CTX,Lamp5,Sst,Vip
4.232187e-06,9.422415e-05,0.007647655,0.95801586,1.3899681e-07,0.0024432407,0.007873155,0.0076962286,1.9244297e-05,0.0002158366,0.015990175
0.9770098,9.810553e-05,4.445538e-06,7.672937e-09,0.00094056764,5.5735927e-06,0.021737706,4.172036e-06,0.00012826761,8.602905e-06,6.2740364e-05
0.40197966,0.03416048,0.005243893,0.00013303176,0.00016731487,1.9705898e-05,0.2841927,2.5279971e-06,0.20660403,0.06617242,0.001324144
0.79356444,0.0020051384,7.829914e-06,6.861497e-08,0.0008871854,1.3424978e-05,0.012537771,9.816904e-06,0.0783065,0.11166484,0.0010029479
0.592992,0.00253349,5.1064384e-05,7.3459177e-07,0.0002859725,2.7613238e-05,0.07896987,5.1112643e-06,0.13807662,0.18542925,0.0016283363
0.002987651,0.00014520038,4.0456114e-05,0.010799567,0.29172683,0.016579634,3.5527104e-05,0.05860441,0.23527214,0.050949145,0.33285946
7.041618e-08,1.4013207e-06,0.010933166,0.9410348,0.014337447,4.2353445e-06,3.0591227e-08,0.0024041738,0.00027410194,4.0104176e-08,0.031010674
0.34426698,0.0024354688,2.8400207e-08,0.028061377,0.053925578,4.9879276e-05,1.3763449e-07,0.26148164,0.24966373,0.0056130965,0.054502074
5.111902e-06,0.0005364152,0.0016841405,0.9733979,0.009419437,1.6427298e-10,1.439639e-09,7.2801845e-09,4.7171598e-05,1.2278195e-12,0.014909691
0.032479446,0.0025315618,1.8233726e-08,0.019485848,0.0050929673,0.00037142923,3.9163453e-08,0.8212553,0.06995129,0.0014501202,0.047382038
0.010267063,0.30920765,0.037179586,0.02390528,0.026484938,6.924817e-05,0.0017563442,2.4241026e-05,0.007140112,0.5837825,0.0001829869
0.001997069,2.0552206e-06,2.8128978e-14,2.7983602e-09,0.0056971773,0.09598425,2.4307092e-10,0.37063968,0.1255957,0.39781985,0.0022640603
0.0002598954,0.00119439,0.00048594712,0.688545,0.20792371,6.2715924e-07,6.9924107e-09,0.0050965743,0.00012301382,1.5854613e-06,0.096369386
2.9990193e-05,0.000120580036,3.7249472e-07,0.0003893845,0.26448682,0.003383304,1.2901309e-08,0.16660264,0.17742465,0.034254722,0.35330755
3.7322143e-06,3.0902365e-06,0.0003042922,0.028347442,0.011733624,5.508141e-05,1.0309634e-05,0.014254669,0.0028398312,0.94215095,0.00029702423
9.000151e-06,2.3917264e-06,3.0381623e-05,1.081228e-05,6.839266e-06,0.50668436,0.03820102,0.43172592,5.3738695e-05,0.02218435,0.001091136
0.00041263946,6.879755e-06,1.3260189e-05,3.4593958e-07,9.282476e-06,0.83523893,0.1364925,0.027810222,1.0958457e-05,1.8814194e-06,3.1449547e-06
5.206625e-05,1.0970864e-07,6.2509594e-07,2.9298522e-07,2.783053e-06,0.62690437,0.030349506,0.037903324,0.0039999373,0.3007041,8.287078e-05
0.0004335673,1.4598293e-06,1.2213325e-06,1.4730001e-06,5.2340583e-05,0.5553733,0.023556186,0.07501968,0.0032931305,0.3421723,9.540573e-05
1.6073172e-05,0.0026319583,0.46772373,0.09452107,1.7667688e-06,0.008990207,0.40108433,0.019145412,2.0478827e-05,0.0050941235,0.0007707776
0.17360887,0.0013497871,0.00014062153,2.0568334e-05,0.0027862827,0.00011520731,0.034281205,3.5210105e-05,0.3478095,0.43893722,0.0009155262
0.03119347,0.0021332125,0.00040650243,0.00043245495,0.117671385,8.5008076e-05,0.0015366229,0.00012326291,0.43550128,0.41091508,1.6667725e-06
0.8098453,4.3905315e-05,0.03692382,0.02654548,0.08300429,4.6017723e-09,0.043179266,4.6851875e-07,0.00044070644,5.2983455e-07,1.6220369e-05
0.0014898424,0.36930475,0.28426713,0.12563212,9.982764e-06,4.614231e-07,0.020338342,8.1928124e-07,0.07118799,0.127721,4.7554662e-05
0.00019725073,0.31819072,0.4658962,0.08164912,0.00058523606,2.1591191e-08,0.002298453,1.2001291e-07,0.00043953297,0.12899247,0.0017508067
8.0613914e-05,0.6358006,0.29677624,0.046443224,3.118132e-05,3.5159217e-05,0.0048141084,7.863261e-06,0.0013545989,0.00032742863,0.014328978
