"","B cells","Dendritic cells","Endothelial cells","Epithelial cells","Fibroblasts","Monocytes and Macrophages","NK cells","PCs","PVL","T cells CD4","T cells CD8"
"2060",0,0,0,0.432397992455617,0.190579101649137,0.209651326847223,0.0223429859228001,0.0961165462598408,0,0.0489120468653824,0
"2061",0,0.0556316349183175,0.108118384183694,0.421052703856114,0.140677755308291,0.0577191776502337,0.0573669227903796,0.0328598360408698,0,0.106834692865439,0.0197388923866609
"2062",0,0,0.0356752888112523,0.17727449206664,0.154060796110874,0.44254417479428,0.0480976301284387,0.0548321197159735,0,0.0875154983725419,0
"2063",0,0.0932420908235468,0,0.556057850036143,0.142160583001573,0.0453064750324521,0.04591582282001,0.0611764958289474,0,0.054101598345438,0.00203908411188906
"2064",0,0.0340115246382825,0.04302850585804,0.156226390107868,0.205472419627578,0.100142657352751,0,0.46111850241548,0,0,0
"2065",0,0,0,0.0189690197297058,0.00485735510148647,0.925539459413839,0,0.0506341657549689,0,0,0
"2066",0,0,0.0774953710465744,0.286495717437146,0.245450410988355,0.235203567554973,0,0.155354932972951,0,0,0
"2067",0.0490162189555114,0.132766995087762,0.075136859620113,0.159212832124476,0.140909298320506,0.065404307050652,0.0931448540152721,0.14481093979314,0,0.0871933538890961,0.0524043411434714
"2068",0.0121054552662626,0.0172552161259186,0.111851681645025,0.0467470894557769,0.332102261027602,0.110095225793451,0.0130729078231244,0.35267446932818,0,0.00409569353465898,0
"2069",0,0.0504323011989361,0,0.649324231803757,0.0484996599817449,0.0615869295417873,0.0435500303424545,0.0682878750306044,0,0.0696790712406263,0.00863990086008972
"2070",0,0,0,0.00566735285062013,0.432154017644672,0.506366585581262,0,0.0558120439234454,0,0,0
"2071",0,0,0,0.0179848239116033,0.16169193780646,0.103146388561005,0,0.717176849720931,0,0,0
"2072",0,0.234703647853567,0,0.416987598519785,0.118022081626044,0.132019755586478,0,0.00546736115355336,0,0.0927995552605733,0
"2073",0,0.111145452987818,0.179936599139465,0.068205957917063,0.124871727987789,0.130989697188347,0.119579427278454,0.0384611087508575,0,0.133280362598928,0.0935296661512791
"2074",0,0.0811318709805591,0.138106379592472,0.241738695222234,0.0447708225055434,0.106074635029028,0.108874382024665,0.0266668792244701,0,0.173512387347254,0.0791239480737754
"2075",0,0,0,0,0.207394130215262,0.724349691308854,0,0.0682561784758841,0,0,0
"2076",0,0,0,0.580109190501913,0.128114982760609,0.211232602495135,0,0.0805432242423425,0,0,0
"2077",0,0.029710073140672,0,0.451605009677819,0.19509570611932,0.21337207955274,0,0.0852249091569686,0,0.0249922223524799,0
"2078",0,0.0158390624702217,0.16785660436139,0.0197027125297387,0.296997807491889,0.0367816014381634,0,0.462822211708597,0,0,0
"2079",0,0.219630603610698,0.0765690082572657,0.0918633879028675,0.214762776340954,0.0427594463772561,0.0428991518792298,0.287283871088019,0,0.0123376722556743,0.0118940822880357
"2080",0,0,0,0,0.815704496429135,0,0,0.184295503570865,0,0,0
"2081",0,0.0562883152853528,0,0.378128140334795,0.254932929851987,0.144862166130661,0,0.165788448397204,0,0,0
"2082",0,0,0,0.052970529578229,0.0530862360312181,0.0242226600250278,0,0.869720574365525,0,0,0
"2083",0,0,0.052016602784317,0.195816931526781,0.288779956472408,0.147429269071945,0,0.315957240144549,0,0,0
"2084",0,0.0836180723322609,0,0.642939925208564,0.0463490840242304,0.0353923133194972,0.0622677279106801,0.022585185295243,0,0.0769664780933969,0.0298812138161273
"2085",0,0,0,0.0460431083561458,0.3493289673395,0.0581309144249468,0,0.546497009879407,0,0,0
"2086",0,0,0,0.0625598122829838,0.630131916411207,0.220298502815277,0,0.0870097684905323,0,0,0
"2087",0,0.082091466509394,0.0316504139100188,0.453502177645622,0.0473742491578451,0.0664623089557409,0.0878239666431633,0.0321781336085494,0,0.152701224585345,0.046216058984322
"2088",0,0.0646344803765304,0,0.718612013925048,0.057879457460518,0.0584726191421781,0.00503835964041397,0.0327228785862311,0,0.0626401908690803,0
"2089",0,0,0,0.125039453217744,0.204673666333542,0.169766177531019,0,0.500520702917695,0,0,0
"2090",0,0.101127764971155,0,0.739270074668629,0.0453300083532717,0.0864630169923985,0,0.027809135014546,0,0,0
"2091",0,0,0,0.560556940063044,0.265020086575191,0.0968932617521415,0,0.0775297116096233,0,0,0
"2092",0,0,0.0229201934239636,0.0334048993843694,0.204828194128441,0.103093278029831,0,0.635753435033395,0,0,0
"2093",0,0,0,0.229806171676199,0.470514692109699,0.151102772286245,0,0.148576363927857,0,0,0
"2094",0.0408284207036128,0.0331859247310319,0,0.137305102337865,0.623350472571589,0.0402021839196114,0.0116306148317481,0.113497280904542,0,0,0
"2095",0,0,0,0.587895852649618,0.0998454901384773,0.234362803423273,0,0.077895853788632,0,0,0
"2096",0,0.155176243708736,0.124188041969697,0.195635987744177,0.0369041220446589,0.0402685718189768,0.136785142776672,0.0246365006131073,0,0.174324571124045,0.11208081819993
"2097",0,0,0,0,0.398674116543285,0.425536283715102,0,0.175789599741613,0,0,0
"2098",0,0.0126565706603727,0,0.842561656494387,0.0342612926974431,0.0340477362618086,0.012957940101476,0.00895370115371683,0,0.0545611026307955,0
"2099",0,0.00783059818974501,0,0.817776087229163,0.0407708160320203,0.0464032815734878,0.0319464814562151,0.0204747126463847,0,0.0338713942726028,0.000926628600381525
"2100",0,0,0,0.186723781271486,0.586601709652222,0.086865288652762,0,0.13980922042353,0,0,0
"2101",0,0.0735543516536569,0.0264566168610313,0.41137535782953,0.180001114230403,0.0462026303754359,0.0350131284741361,0.175462428175936,0,0.0519343723998703,0
"2102",0,0.0291510774718016,0,0.288767385852748,0.304039048185232,0.0820556833712031,0,0.295986805119016,0,0,0
"2103",0,0,0,0,0.0492656447401278,0.106747795664808,0,0.843986559595064,0,0,0
"2104",0,0.0865568502102144,0,0.64735544030367,0.158129951089775,0.0229474700795091,0,0.0850102883168316,0,0,0
"2105",0,0,0,0.0723208494738837,0.153245744157332,0.630423892569035,0,0.144009513799749,0,0,0
"2106",0,0,0,0.0492544664451549,0.627568014328939,0.112469803463604,0,0.210707715762302,0,0,0
"2107",0,0,0,0.261419040639457,0.198577329776382,0.465455975457283,0,0.0745476541268773,0,0,0
"2108",0,0,0,0.212238609046316,0.0711159240178269,0.553868124516585,0.029771343160254,0.0967206472800921,0,0.0362853519789263,0
"2109",0,0.0120429465928294,0,0.123128972187077,0.572081512149139,0.04007096942695,0,0.252675599644005,0,0,0
"2110",0,0,0,0.298959240488623,0.17091093165387,0.428465604307478,0,0.101664223550029,0,0,0
"2111",0,0,0,0,0.0734229797134761,0.247769994745648,0,0.678807025540876,0,0,0
