EPL-IN,GC,M/TC,OSNs,PGC
0.116504412,0.243868353,0.313135275,0.142637326,0.183854634
0.081025008,0.281655702,0.254253778,0.230104448,0.152961064
0.155801236,0.28644005,0.223855701,0.199475777,0.134427236
0.115159702,0.237130197,0.291509171,0.11320339,0.242997541
0.106363588,0.238731716,0.28052322,0.177739117,0.196642358
0.105809555,0.28832488,0.266961745,0.189127099,0.149776722
0.132240305,0.256734841,0.259718517,0.204202739,0.147103598
0.142335893,0.260196121,0.259349798,0.19798463,0.140133558
0.139120413,0.262283932,0.263357724,0.178442613,0.156795318
0.106910421,0.264360491,0.278373829,0.204883676,0.145471583
0.181107218,0.245044372,0.205820271,0.203276044,0.164752095
0.13007387,0.222451295,0.277680151,0.139207178,0.230587507
0.137946529,0.235221842,0.348995716,0.111366363,0.16646955
0.140643198,0.228820724,0.246852024,0.15591995,0.227764104
0.147872536,0.347828967,0.20184022,0.140323762,0.162134515
0.132451742,0.281345924,0.234494563,0.204142341,0.14756543
0.102705038,0.235350422,0.274215856,0.208777344,0.178951339
0.111735494,0.292357788,0.274898044,0.150004975,0.1710037
0.08349397,0.20649177,0.420454537,0.100561714,0.188998009
0.159607597,0.339990509,0.164593978,0.134985604,0.200822311
0.193301515,0.389082888,0.157049995,0.087801772,0.17276383
0.071156962,0.242080178,0.399587715,0.122801726,0.164373419
0.149585693,0.250692222,0.294219574,0.098008713,0.207493797
0.11571314,0.227233823,0.281287624,0.167614534,0.208150879
0.103732643,0.320671209,0.277794748,0.138928809,0.15887259
0.12834786,0.263522619,0.304296816,0.130636559,0.173196147
0.155738106,0.256623886,0.238297173,0.14536505,0.203975785
0.082381013,0.301056769,0.333744004,0.093388753,0.189429461
0.177148966,0.362847848,0.167651131,0.079323271,0.213028784
0.1227377,0.281411664,0.271713103,0.161550837,0.162586696
0.166903996,0.386947508,0.1722251,0.093580654,0.180342742
0.14033131,0.379555698,0.180215061,0.116583098,0.183314833
0.148219475,0.346469398,0.160086698,0.148155838,0.197068592
0.124480177,0.324647745,0.188904569,0.174002726,0.187964783
0.161889179,0.339202301,0.168700668,0.161758836,0.168449016
0.152637149,0.334717784,0.204290425,0.118128864,0.190225778
0.169512253,0.286328791,0.167893445,0.191796628,0.184468882
0.153477196,0.305019856,0.21271482,0.136506853,0.192281276
0.152557109,0.329221182,0.20703197,0.122063684,0.189126055
0.167985625,0.37247315,0.152613764,0.12274753,0.184179931
0.103850206,0.282054987,0.223280703,0.206966041,0.183848062
0.160747689,0.338475798,0.195302633,0.140927075,0.164546806
0.103658218,0.268304509,0.262444091,0.24798357,0.117609612
0.0750235,0.257933762,0.28426941,0.266873134,0.115900195
0.114575279,0.224635044,0.253988875,0.26908837,0.137712432
0.109889784,0.243692388,0.235077113,0.291474154,0.11986656
0.125675688,0.209492877,0.251810279,0.249285793,0.163735363
0.188347611,0.186966204,0.225089056,0.179575474,0.220021655
0.110317019,0.24331394,0.238745154,0.27984499,0.127778897
0.151333635,0.247769452,0.220971546,0.289641595,0.090283772
0.131188469,0.230788288,0.220266978,0.317499421,0.100256844
0.127267188,0.275017401,0.226236509,0.262631053,0.108847849
0.068700628,0.238502374,0.263322974,0.347747299,0.081726726
0.086984967,0.202562539,0.310918396,0.269402857,0.130131241
0.104280299,0.199335149,0.316823297,0.218297757,0.161263497
0.112492229,0.182363074,0.307617818,0.183020815,0.214506065
0.143038977,0.155705828,0.254503922,0.188821131,0.257930141
0.1103283,0.201551779,0.298342539,0.233297527,0.156479856
0.182496857,0.203055107,0.194203773,0.170062553,0.25018171
0.059963612,0.2222959,0.423973956,0.144220069,0.149546463
0.158174487,0.418064571,0.163394548,0.088485812,0.171880582
0.106904311,0.251611372,0.254965952,0.226844612,0.159673753
0.105690789,0.241383235,0.35345411,0.125768126,0.17370374
0.142629214,0.17802597,0.261926806,0.212440093,0.204977918
0.134221735,0.192552911,0.267076184,0.223666781,0.182482389
0.121839112,0.204768232,0.293383542,0.246623956,0.133385158
0.136311091,0.187996528,0.262302952,0.191609253,0.221780176
0.100946087,0.193167902,0.388407592,0.155194152,0.162284268
0.087340077,0.216552825,0.328351786,0.193456793,0.174298519
0.090436963,0.214038754,0.347941862,0.196121198,0.151461223
0.086918282,0.221161262,0.397791533,0.113310956,0.180817968
0.160920367,0.406203739,0.138127341,0.104450071,0.190298483
0.183931995,0.376058627,0.143083114,0.105545186,0.191381078
0.129708915,0.372406232,0.195900175,0.118180047,0.183804631
0.142573854,0.359777126,0.162122527,0.138185089,0.197341403
0.139714086,0.357248206,0.187652763,0.120276189,0.195108757
0.154268029,0.38801275,0.174453527,0.118145223,0.165120471
0.143118462,0.209018844,0.277417933,0.200496753,0.169948009
0.080323385,0.193582797,0.374718297,0.19906881,0.152306712
0.159462976,0.221868996,0.236308741,0.140717164,0.241642122
0.136487451,0.198254869,0.248336044,0.193961002,0.222960634
0.159226693,0.21300289,0.251125813,0.177739153,0.198905451
0.125330781,0.361362237,0.169681298,0.138386108,0.205239576
0.14846905,0.308643752,0.191194426,0.182342137,0.169350634
0.15884227,0.378951951,0.162318207,0.119539431,0.180348141
0.19359806,0.372512718,0.157350701,0.090177563,0.186360958
0.129777343,0.40936834,0.172922771,0.084872896,0.203058649
0.152980635,0.341207841,0.183081033,0.118577417,0.204153074
